code,description,fee
00948,Anes vag px crv cerclage,81.99
0094U,Genome rapid sequence alys,7582.2
00950,Anes vag px culdoscopy,102.49
00952,Anes vag px hystsc&/hsg,102.49
0095U,Ee 2 prtn bmrk elisa est,771.98
0096U,Hpv hi risk types male urine,35.09
0101U,Hered colon ca do 15 genes,1743.95
0102U,Hered brst ca rltd do 17 gen,1303.95
0103U,Hered ova ca pnl 24 genes,1743.95
0105U,Neph ckd mult eclia tum nec,950.0
0106U,Gstr emptg 7 timed brth spec,874.49
0107U,C diff tox ag detcj ia stool,16.0
0108U,Gi barrett esoph 9 prtn bmrk,4950.0
0109U,Id aspergillus dna 4 species,142.63
0110U,Rx mntr 1+oral onc rx&sbsts,27.11
01112,Anes bone marrow aspir&/bx,81.99
0111U,Onc colon ca kras&nras alys,682.29
01120,Anes px on bony pelvis,102.49
0112U,Iadi 16s&18s rrna genes,356.13
01130,Anes body cast appl/revj,81.99
0113U,Onc prst8 pca3&tmprss2-erg,760.0
01140,Anes ntrplvabdmnl amputation,81.99
0114U,Gi barretts esoph vim&ccna1,1938.01
01150,Anes rad px tumor of pelvis,81.99
0115U,Respir iadna 18 viral&2 bact,275.35
01160,Anes clsd px symph pub/si jt,61.49
0116U,Rx mntr nzm ia 35+oral flu,246.92
01170,Anes opn px symph pub/si jt,61.49
01173,Anes opn rpr fx disrpj plvs,122.99
0117U,Pain mgmt 11 endogenous anal,840.65
01180,Anesthesia 01180,102.49
0118U,Trnsplj don-drv cll-fr dna,2753.25
01190,Anesthesia 01190,61.49
0119U,Crd ceramides liq chrom plsm,83.76
01200,Anes all closed px hip joint,81.99
01202,Anes arthroscopic px hip jt,143.48
0120U,Onc b cll lymphm mrna 58 gen,2510.21
01210,Anes open px hip joint nos,102.49
01212,Anes open px hip jt disrtcj,102.49
01214,Anes open px tot hip arthrp,163.98
01215,Anes opn revj tot hip arthrp,163.98
0121U,Sc dis vcam-1 whole blood,509.2
01220,Anes clsd px upper 2/3 femur,143.48
0122U,Sc dis p-selectin whl blood,526.23
01230,Anes opn upper 2/3 femur nos,61.49
01232,Anes opn px upr 2/3 fem amp,102.49
01234,Anes opn upr 2/3 fem rad res,81.99
0123U,Mchnl fragility rbc prflg,357.63
01250,Anes all px nrv musc upr leg,81.99
01260,Anes all px veins upper leg,143.48
01270,Anes px arteries upr leg nos,102.49
01272,Anes px art femoral art lig,102.49
01274,Anes px art fem art emblc,122.99
0129U,Hered brst ca rltd do panel,1303.95
0130U,Hered colon ca do mrna pnl,584.9
01320,Anes all px nrv msc kne&/pop,102.49
0133U,Hered prst8 ca rltd do 11,690.29
01340,Anes clsd px lower 1/3 femur,61.49
0134U,Hered pan ca mrna pnl 18 gen,748.39
01360,Anes open px lower 1/3 femur,61.49
0136U,Atm mrna seq alys,407.43
0137U,Palb2 mrna seq alys,282.88
01380,Anes all clsd px knee joint,61.49
01382,Anes dx arthrs px knee jt,61.49
0138U,Brca1 brca2 mrna seq alys,468.33
01390,Anes cls px upr tib fib&/pat,61.49
01392,Anes opn px upr tib fib&/pat,143.48
01400,Anes opn/arthrs knee jt nos,81.99
01402,Anes opn/arth tot kne arthrp,143.48
01404,Anes opn/arthrs disrtcj knee,81.99
0140U,Nfct ds fungi dna 15 trgt,156.75
0141U,Nfct ds bact&fng gram pos,156.75
01420,Anes cst appl rmv/rpr kne jt,61.49
0142U,Nfct ds bact&fng gram neg,156.75
01430,Anes px veins knee&pop nos,61.49
01432,Anes px vn knee&pop av fstl,61.49
01440,Anes px art knee&pop nos,81.99
01442,Anes px art knee&pop teaec,143.48
01444,Anes px art knee&pop exc&grf,81.99
01462,Anes clsd px lower l/a/f,61.49
01464,Anes arthrs px ankle&/foot,81.99
01470,Anes px nrv msc lw l/a/f nos,61.49
01472,Anes rpr rpt achilles tendon,61.49
01474,Anes gastrocnemius recession,81.99
01480,Anes open px lower l/a/f nos,61.49
01482,Anes opn lwr l/a/f rad rescj,102.49
01484,Anes opn lw l/a/f oste/ostpl,81.99
01486,Anes open total ankle rplcmt,102.49
01490,Anes lwr leg cst app rmv/rpr,61.49
01500,Anes px art lower leg nos,81.99
01502,Anes px art lower leg emblc,122.99
01520,Anes px veins lower leg nos,102.49
01522,Anes px vn lwr leg ven thrmb,163.98
0152U,Nfct ds dna untrgt ngnrj seq,2126.2
0153U,Onc breast mrna 101 genes,3159.42
0154U,Onc urthl ca rna fgfr3 gene,482.14
0155U,Onc brst ca dna pik3ca gene,274.83
0156U,Copy number sequence alys,1740.0
0157U,Apc mrna seq alys,282.88
0158U,Mlh1 mrna seq alys,282.88
0159U,Msh2 mrna seq alys,282.88
0160U,Msh6 mrna seq alys,282.88
01610,Anes all px nrv musc sho&ax,61.49
0161U,Pms2 mrna seq alys,282.88
01620,Anes clsd px shoulder joint,81.99
01622,Anes dx arthr px shoulder jt,81.99
0162U,Hered colon ca trgt mrna pnl,486.54
01630,Anes opn/arthr px sho jt nos,102.49
01634,Anes open/arthrs sho disrtcj,102.49
01636,Anes open/arthr ntrthrc amp,102.49
01638,Anes opn/arthr tot sho rplcm,102.49
0163U,Onc clrct scr 3 prtn alg,390.75
0164U,Gi ibs ia anti-cdtb&vinculin,112.02
01650,Anes art sho&ax nos,61.49
01652,Anes art sho&ax ax-brch arsm,81.99
01654,Anes art sho&ax bypass grf,81.99
01656,Anes art sho&ax ax-fem bpg,81.99
0165U,Peanut allg asmt epi,463.76
0166U,Liver ds 10 biochem asy srm,503.4
01670,Anes all px vn shoulder&ax,61.49
01680,Anes sho cast appl rmvl/rpr,102.49
0169U,Nudt15&tpmt gene com vrnt,466.17
0170U,Neuro asd rna next gen seq,1950.0
01710,Anes px nrv musc upr a&e nos,61.49
01712,Anes px nrv msc upr a&e tnot,102.49
01714,Anes nrv msc upr a&e tnplsty,81.99
01716,Anes nrv msc upr a&e tndsis,143.48
0171U,Trgt gen seq alys pnl dna 23,1519.06
0172U,Onc sld tum alys brca1 brca2,3030.0
01730,Anes clsd px humerus&elbow,61.49
01732,Anes dx arthrs px elbow jt,102.49
0173U,Psyc gen alys panel 14 genes,466.17
01740,Anes opn/arthrs px elbw nos,81.99
01742,Anes opn/arthrs elbw osteot,102.49
01744,Anes opn/arthrs elbw rpr hum,122.99
0174U,Onc solid tumor 30 prtn trgt,1305.37
01756,Anes opn/arthrs elbw rad px,61.49
01758,Anes opn/arthrs elbw exc cst,61.49
0175U,Psyc gen alys panel 15 genes,1336.09
01760,Anes opn/arthr elb tot rplct,61.49
0176U,Cdtb&vinculin igg antb ia,64.19
01770,Anes px art upr arm&elbw nos,122.99
01772,Anes art upr arm&elbw emblc,122.99
0177U,Onc brst ca dna pik3ca 11,274.83
01780,Anes px vn upr arm&elbw nos,102.49
01782,Anes vn upr arm&elbw phlbrpy,102.49
0178U,Peanut allg asmt epi clin rx,459.86
0179U,Onc nonsm cll lng ca alys 23,1943.21
0180U,Abo gnotyp abo 7 exons,274.83
01810,Anes px nrv musc f/arm wrst,61.49
0181U,Co gnotyp aqp1 exon 1,185.2
01820,Anes clsd px rds u/w/h bones,61.49
01829,Anes dx arthroscopic px wrst,61.49
0182U,Crom gnotyp cd55 exons 1-10,301.35
01830,Anes arthr/ndsc wrst/hnd nos,61.49
01832,Anes arthr/ndsc tot wrst rpl,102.49
0183U,Di gnotyp slc4a1 exon 19,185.2
01840,Anes art f/arm wrst&hnd nos,81.99
01842,Anes art farm wrst&hnd emblc,102.49
01844,Anes vasc shunt/shunt revj,81.99
0184U,Do gnotyp art4 exon 2,185.2
01850,Anes vein f/arm wrst&hnd nos,61.49
01852,Anes px vn f/arm phlbrrhaphy,81.99
0185U,Fut1 gnotyp fut1 exon 4,185.2
01860,Anes forearm wrist/hand cast,143.48
0186U,Fut2 gnotyp fut2 exon 2,185.2
0187U,Fy gnotyp ackr1 exons 1-2,274.83
0188U,Ge gnotyp gypc exons 1-4,274.83
0189U,Gypa gnotyp ntrns 1 5 exon 2,274.83
0190U,Gypb gnotyp ntrns 1 5 seux 3,274.83
01916,Anes dx arteriography/vngrph,102.49
0191U,In gnotyp cd44 exons 2 3 6,274.83
01920,Anes cardiac catheterization,143.48
01922,Anes n-invas img/radj ther,143.48
01924,Anes ther ivntl rad artl nos,204.98
01925,Anes ivntl rad artl crtd/c,102.49
01926,Anes ivntl rad icr icar/aort,143.48
0192U,Jk gnotyp slc14a1 exon 9,274.83
01930,Anes ther ivntl rad ven nos,102.49
01931,Anes ivnt rad ntrhpt/prt crc,61.49
01932,Anes th ivnt rad ntrthrc/jug,61.49
01933,Anes ther ivntl rad px icr,143.48
01935,Anesthesia 01935,102.49
01936,Anesthesia 01936,102.49
0193U,Jr gnotyp abcg2 exons 2-26,282.88
0194U,Kel gnotyp kel exon 8,185.2
01951,Anes 2&3 burn less 4 % tbsa,61.49
01952,Anes 2&3 burn 4-9% tbsa,102.49
01953,Anes 2&3 burn ea add 9% tbsa,61.49
01958,Anes xtrnl cephalic version,143.48
0195U,Klf1 targeted sequencing,375.25
01960,Anes vaginal delivery only,143.48
01961,Anes cesarean delivery only,163.98
01962,Anes urgent hysterectomy,102.49
01963,Anes cesarean hysterectomy,204.98
01965,Anes incompl/missed ab px,102.49
01966,Anes induced abortion px,143.48
01967,Neuraxl lbr anes vag dlvr,102.49
01968,Anes/analg cs dlvr neuraxial,163.98
01969,Anes c hyst flwg neuraxial,184.48
0196U,Lu gnotyp bcam exon 3,185.2
0197U,Lw gnotyp icam4 exon 1,185.2
0198U,Rhd&rhce gntyp rhd1-10&rhce5,282.88
01990,Physiol support hrvg organs,143.48
01991,Anes dx/ther nrv blk&inj oth,61.49
01992,Anes dx/ther nrv blk&inj prn,102.49
01996,Dly hosp mgmt edrl rx admin,20.5
01999,Unlisted anes procedure,61.49
0199U,Sc gnotyp ermap exons 4 12,274.83
0200U,Xk gnotyp xk exons 1-3,274.83
0201U,Yt gnotyp ache exon 2,185.2
0202U,Nfct ds 22 trgt sars-cov-2,416.78
0203U,Ai ibd mrna xprsn prfl 17,760.0
0205U,Oph amd alys 3 gene variants,47.0
0206U,Neuro alzheimer cell aggregj,2215.4
0207U,Neuro alzheimer quan imaging,511.2
0209U,Cytog const alys interrog,787.15
0210U,Syphilis tst antb ia quan,18.63
0211U,Onc pan-tum dna&rna gnrj seq,8455.0
0212U,Rare ds gen dna alys proband,5475.2
0213U,Rare ds gen dna alys ea comp,2709.95
0214U,Rare ds xom dna alys proband,5224.6
0215U,Rare ds xom dna alys ea comp,2574.65
0216U,Neuro inh ataxia dna 12 com,1537.02
0217U,Neuro inh ataxia dna 51 gene,2198.35
0218U,Neuro musc dys dmd seq alys,2279.0
0219U,Nfct agt hiv gnrj seq alys,725.0
0220U,Onc brst ca ai assmt 12 feat,706.25
0221U,Abo gnotyp next gnrj seq abo,274.83
0222U,Rhd&rhce gntyp next gnrj seq,282.88
0223U,Nfct ds 22 trgt sars-cov-2,416.78
0224U,Antibody sars-cov-2 titer(s),51.43
0225U,Nfct ds dna&rna 21 sarscov2,416.78
0226U,Svnt sarscov2 elisa plsm srm,42.28
0227U,Rx asy prsmv 30+rx/metablt,62.14
0228U,Onc prst8 ma molec prfl alg,173.03
0229U,Bcat1&ikzf1 prmtr mthyln aly,384.0
0230U,Ar full sequence analysis,301.35
0231U,Cacna1a full gene analysis,846.27
0232U,Cstb full gene analysis,274.83
0233U,Fxn gene analysis,274.83
0234U,Mecp2 full gene analysis,527.87
0235U,Pten full gene analysis,600.0
0236U,Smn1&smn2 full gene analysis,602.7
0237U,Car ion chnlpthy gen seq pnl,584.9
0238U,Onc lnch syn gen dna seq aly,584.9
0239U,Trgt gen seq alys pnl 311+,3500.0
0242U,Trgt gen seq alys pnl 55-74,5000.0
0243U,Ob pe biochem assay pgf alg,64.41
0244U,Onc solid orgn dna 257 genes,3500.0
0245U,Onc thyr mut alys 10 gen&37,1266.07
0246U,Rbc dna gnotyp 16 bld groups,720.0
0247U,Ob prtrm brth ibp4 shbg meas,750.0
0248U,Onc sphrd cell cul 12 rx pnl,3033.86
0249U,Onc brst alys 32 phsprtn alg,2219.13
0250U,Onc sld org neo dna 505 gene,2919.6
0251U,Hepcidin-25 elisa serum/plsm,17.27
0252U,Ftl aneuploidy str alys dna,759.05
0253U,Rprdtve med rna gen prfl 238,3159.42
0254U,Reprdtve med alys 24 chrmsm,759.05
0255U,Andrology infertility assmt,31.6
0256U,Tma/tmao prfl ms/ms ur alg,159.95
0257U,Vlcad leuk nzm actv whl bld,712.47
0258U,Ai psor mrna 50-100 gen alg,3675.0
0259U,Neph ckd nuc mrs meas gfr,52.71
0260U,Rare ds id opt genome mapg,1263.53
0261U,Onc clrct ca img alys w/ai,2513.25
0262U,Onc sld tum rt-pcr 7 gen,3200.0
0263U,Neuro asd meas 16 c metblt,750.0
0264U,Rare ds id opt genome mapg,1263.53
0265U,Rar do whl gn&mtcdrl dna als,5475.8
0266U,Unxpl cnst hrtbl do gn xprsn,3200.0
0267U,Rare do id opt gen mapg&seq,6739.33
0268U,Hem ahus gen seq alys 15 gen,608.17
0269U,Hem aut dm cgen trmbctpna 22,608.17
0270U,Hem cgen coagj do 20 genes,608.17
0271U,Hem cgen neutropenia 24 gen,608.17
0272U,Hem genetic bld do 60 genes,608.17
0273U,Hem gen hyprfibrnlysis 8 gen,608.17
0274U,Hem gen pltlt do 62 genes,608.17
0275U,Hem heprn nduc trmbctpna srm,18.37
0276U,Hem inh thrombocytopenia 42,2448.56
0277U,Hem gen pltlt funcj do 40,608.17
0278U,Hem gen thrombosis 14 genes,608.17
0279U,Hem vw factor&clgn iii bndg,11.53
0280U,Hem vw factor&clgn iv bndg,17.27
0281U,Hem vwd propeptide ag lvl,17.27
0282U,Rbc dna gntyp 12 bld grp gen,720.0
0283U,Vw factor type 2b eval plsm,18.4
0284U,Vw factor type 2n eval plsm,17.27
0285U,Onc ds prog&rspse mntr radj,443.31
0286U,Cep72 nudt15&tpmt gene alys,134.13
0287U,Onc thyr dna&mrna 112 genes,3600.0
0288U,Onc lung mrna quan pcr 11&3,3873.0
0289U,Neuro alzheimer mrna 24 gen,760.0
0290U,Pain mgmt mrna gen xprsn 36,760.0
0291U,Psyc mood do mrna 144 genes,1755.0
0292U,Psyc strs do mrna 72 genes,1755.0
0293U,Psyc suicidal idea mrna 54,760.0
0294U,Lngvty&mrtlty rsk mrna 18gen,760.0
0295U,Onc brst dux carc 7 proteins,5435.0
0296U,Onc orl&/orop ca 20 mlc feat,1950.0
0297U,Onc pan tum whl gen seq dna,2919.6
