code,description,fee
58572,Tlh uterus over 250 g,950.3
58573,Tlh w/t/o uterus over 250 g,1111.08
58575,Laps tot hyst resj mal,1784.45
58580,Transcrv abltj utrn fibrd rf,2631.02
58600,Division of fallopian tube,334.0
58605,Division of fallopian tube,303.79
58611,Ligate oviduct(s) add-on,65.46
58615,Occlude fallopian tube(s),226.92
58660,Laparoscopy lysis,630.73
58661,Laparoscopy remove adnexa,589.11
58662,Laparoscopy excise lesions,649.87
58670,Laparoscopy tubal cautery,334.67
58671,Laparoscopy tubal block,334.67
58672,Laparoscopy fimbrioplasty,647.85
58673,Laparoscopy salpingostomy,703.24
58674,Laps abltj uterine fibroids,724.05
58700,Removal of fallopian tube,734.12
58720,Removal of ovary/tube(s),701.9
58740,Adhesiolysis tube ovary,829.12
58750,Repair oviduct,805.96
58752,Revise ovarian tube(s),803.27
58760,Fimbrioplasty,728.08
58770,Create new tubal opening,764.0
58800,Drainage of ovarian cyst(s),355.14
58805,Drainage of ovarian cyst(s),383.01
58820,Drain ovary abscess open,305.13
58822,Drain ovary abscess percut,635.77
58825,Transposition ovary(s),630.73
58900,Biopsy of ovary(s),391.06
58920,Partial removal of ovary(s),634.43
58925,Removal of ovarian cyst(s),701.56
58940,Removal of ovary(s),517.95
58943,Removal of ovary(s),1135.25
58950,Resect ovarian malignancy,1073.82
58951,Resect ovarian malignancy,1337.33
58952,Resect ovarian malignancy,1527.32
58953,Tah rad dissect for debulk,1854.6
58954,Tah rad debulk/lymph remove,2004.65
58956,Bso omentectomy w/tah,1266.84
58958,Resc recr ovr tbl pp utr mal,1460.52
58960,Exploration of abdomen,948.28
58970,Retrieval of oocyte,238.33
58976,Transfer of embryo,256.46
59000,Amniocentesis diagnostic,120.17
59001,Amniocentesis therapeutic,160.45
59012,Fetal cord puncture prenatal,180.59
59015,Chorion biopsy,161.46
59020,Fetal contract stress test,73.18
59025,Fetal non-stress test,50.69
59030,Fetal scalp blood sampling,99.36
59050,Fetal monitor w/report,44.64
59051,Fetal monitor/interpret only,36.59
59070,Transabdom amnioinfus w/us,405.5
59072,Umbilical cord occlud w/us,465.25
59074,Fetal fluid drainage w/us,390.39
59076,Fetal shunt placement w/us,465.25
59100,Remove uterus lesion,774.4
59120,Treat ectopic pregnancy,738.49
59121,Treat ectopic pregnancy,738.82
59130,Treat ectopic pregnancy,856.64
59136,Treat ectopic pregnancy,812.0
59140,Treat ectopic pregnancy,382.0
59150,Treat ectopic pregnancy,716.67
59151,Treat ectopic pregnancy,697.87
59160,D & c after delivery,264.85
59200,Insert cervical dilator,130.91
59300,Episiotomy or vaginal repair,226.58
59320,Revision of cervix,137.96
59325,Revision of cervix,216.51
59350,Repair of uterus,247.39
59400,Obstetrical care,2225.53
59409,Obstetrical care,725.39
59410,Obstetrical care,981.18
59412,Antepartum manipulation,94.66
59414,Deliver placenta,82.58
59425,Antepartum care only,577.7
59426,Antepartum care only,1060.73
59430,Care after delivery,262.5
59510,Cesarean delivery,2485.67
59514,Cesarean delivery only,827.77
59515,Cesarean delivery,1230.92
59525,Remove uterus after cesarean,428.32
59610,Vbac delivery,2342.34
59612,Vbac delivery only,827.44
59614,Vbac care after delivery,1071.81
59618,Attempted vbac delivery,2512.86
59620,Attempted vbac delivery only,856.64
59622,Attempted vbac after care,1269.52
59812,Treatment of miscarriage,361.19
59820,Care of miscarriage,433.69
59821,Treatment of miscarriage,429.66
59830,Treat uterus infection,421.27
59870,Evacuate mole of uterus,485.05
59871,Remove cerclage suture,121.18
60000,I&d thyroglssl dux cst infct,187.98
60100,Biopsy of thyroid,109.09
60200,Remove thyroid lesion,624.69
60210,Partial thyroid excision,650.54
60212,Partial thyroid excision,977.82
60220,Partial removal of thyroid,643.49
60225,Partial removal of thyroid,853.62
60240,Removal of thyroid,833.82
60252,Removal of thyroid,1184.6
60254,Extensive thyroid surgery,1489.05
60260,Repeat thyroid surgery,974.8
60270,Removal of thyroid,1234.95
60271,Removal of thyroid,950.97
60280,Remove thyroid duct lesion,411.87
60281,Remove thyroid duct lesion,528.02
60300,Aspir/inj thyroid cyst,103.72
60500,Explore parathyroid glands,895.92
60502,Re-explore parathyroids,1208.77
60505,Explore parathyroid glands,1206.08
60512,Autotransplant parathyroid,212.15
60520,Removal of thymus gland,987.89
60521,Removal of thymus gland,1086.58
60522,Removal of thymus gland,1306.78
60540,Explore adrenal gland,1016.09
60545,Explore adrenal gland,1180.23
60600,Remove carotid body lesion,1230.25
60605,Remove carotid body lesion,1507.52
60650,Laparoscopy adrenalectomy,1109.41
60660,Abltj 1/+thyr ndul 1lobe prq,2583.02
60661,Abltj 1/+thyr ndul addl prq,411.2
61000,Remove cranial cavity fluid,111.78
61001,Remove cranial cavity fluid,106.41
61020,Remove brain cavity fluid,99.02
61026,Injection into brain canal,105.4
61050,Remove brain canal fluid,69.48
61055,Injection into brain canal,99.02
61070,Brain canal shunt procedure,51.69
61105,Tdh sdrl/ventr pnxr,500.83
61107,Tdh pnxr implt ventr cath,289.02
61108,Tdh pnxr evac&/drg sdrl hmta,933.51
61120,Burr hole for ventr puncture,777.42
61140,Burr hole/treph bx brain/les,1274.22
61150,Bur hol/trph drg brn abs/cst,1343.04
61151,Burr hole/treph sbsq tapping,1003.33
61154,Burr hole w/evac&/drg hmtma,1293.02
61156,Burr hol aspir hmtm/cst icer,1230.25
61210,Burr hole implt ventr cath,337.35
61215,Ins subq rsvr pmp/nfs sys,560.24
61250,Burr hole/treph sttl expl,887.52
61253,Burr hole treph ittl uni/bi,1003.33
61304,Crnec/crnot expl supratntorl,1616.95
61305,Crnec/crnot expl infratntorl,1969.74
61312,Crnec/crnot sttl xdrl/sdrl,2015.06
61313,Crnec/crnot sttl icere,1957.32
61314,Crnec/crnot ittl xdrl/sdrl,1797.88
61315,Crnec/crnot ittl ntracereblr,2027.14
61316,Inc&subq plmt crnl bone grf,80.23
61320,Crnec/crnot drg icr abs sttl,1846.21
61321,Crnec/crnot drg icr abs ittl,2079.51
61322,Crnec/crnot dcmprv w/o lobec,2315.15
61323,Crnec/crnot dcmprv w/lobec,2310.12
61330,Dcmprn orbit only transcrnl,1772.36
61333,Expl orbit w/removal lesion,1967.06
61340,Subtemporal cranial dcmprn,1435.01
61343,Crnec sopl crv lam dcmprn,2122.81
61345,Oth cranial dcmprn pst fossa,1999.62
61450,Crnec stpl sctj cmprn/dcmprn,1875.08
61458,Crnec sopl xpl/dcmpr crl nrv,1973.43
61460,Crnec sopl sctj 1+crnl nrv,2058.36
61500,Crnec exc tum/bone les skull,1204.74
61501,Craniectomy f/osteomyelitis,1061.4
61510,Crnec treph exc brn tum sttl,2172.15
61512,Crnec treph exc mngioma sttl,2475.94
61514,Crnec treph exc brn abs sttl,1866.69
61516,Crnec treph exc cyst sttl,1831.11
61517,Implt brn intrcv chemotx agt,79.89
61518,Removal of brain lesion,2698.49
61519,Remove brain lining lesion,2836.45
61520,Removal of brain lesion,3516.53
61521,Removal of brain lesion,3025.77
61522,Removal of brain abscess,2133.21
61524,Removal of brain lesion,2038.22
61526,Removal of brain lesion,3043.9
61530,Removal of brain lesion,2947.56
61531,Implant brain electrodes,1243.0
61533,Implant brain electrodes,1512.55
61534,Removal of brain lesion,1638.09
61535,Remove brain electrodes,1030.19
61536,Removal of brain lesion,2492.39
61537,Removal of brain tissue,2366.84
61538,Removal of brain tissue,2556.84
61539,Removal of brain tissue,2292.66
61540,Removal of brain tissue,2124.49
61541,Incision of brain tissue,2098.98
61543,Removal of brain tissue,2120.46
61544,Remove & treat brain lesion,1855.95
61545,Excision of brain tumor,3083.85
61546,Removal of pituitary gland,2243.65
61548,Removal of pituitary gland,1494.43
61550,Release of skull seams,1224.54
61552,Release of skull seams,1486.37
61556,Incise skull/sutures,1686.1
61557,Incise skull/sutures,1681.4
61558,Excision of skull/sutures,1858.63
61559,Excision of skull/sutures,2355.43
61563,Excision of skull tumor,1938.86
61564,Excision of skull tumor,2344.69
61566,Removal of brain tissue,2183.57
61567,Incision of brain tissue,2486.01
61570,Remove foreign body brain,1842.18
61571,Incise skull for brain wound,1953.29
61575,Skull base/brainstem surgery,2424.92
61576,Skull base/brainstem surgery,4215.41
61580,Craniofacial approach skull,2229.55
61581,Craniofacial approach skull,2371.54
61582,Craniofacial approach skull,3092.91
61583,Craniofacial approach skull,2938.16
61584,Orbitocranial approach/skull,2845.52
61585,Orbitocranial approach/skull,3271.49
61586,Resect nasopharynx skull,2652.5
61590,Infratemporal approach/skull,2679.02
61591,Infratemporal approach/skull,2793.15
61592,Orbitocranial approach/skull,3048.6
61595,Transtemporal approach/skull,2196.99
61596,Transcochlear approach/skull,2099.98
61597,Transcondylar approach/skull,2980.46
61598,Transpetrosal approach/skull,2861.97
61600,Resect/excise cranial lesion,1924.42
61601,Resect/excise cranial lesion,2412.5
61605,Resect/excise cranial lesion,1922.08
61606,Resect/excise cranial lesion,2741.79
61607,Resect/excise cranial lesion,2505.48
61608,Resect/excise cranial lesion,3177.16
61611,Transect artery sinus,429.33
61613,Remove aneurysm sinus,3224.83
61615,Resect/excise lesion skull,2832.43
61616,Resect/excise lesion skull,3171.12
61618,Repair dura,1224.54
61619,Repair dura,1573.31
61623,Evasc temp balo artl occ h/n,520.97
61624,Tcat perm occls/embolj cns,1049.99
61626,Tcat perm occls/embol noncns,9783.58
61645,Perq art m-thrombect &/nfs,759.63
61650,Evasc prlng admn rx agnt 1st,526.0
61651,Evasc prlng admn rx agnt add,224.9
61680,Intracranial vessel surgery,2218.48
61682,Intracranial vessel surgery,3902.22
61684,Intracranial vessel surgery,2744.81
61686,Intracranial vessel surgery,4269.79
61690,Intracranial vessel surgery,2134.22
61692,Intracranial vessel surgery,3483.97
61697,Brain aneurysm repr complx,4024.41
61698,Brain aneurysm repr complx,4393.65
61700,Brain aneurysm repr simple,3226.84
61702,Inner skull vessel surgery,3837.44
61703,Clamp neck artery,1357.81
61705,Revise circulation to head,2513.87
61708,Revise circulation to head,2462.51
61710,Revise circulation to head,2083.53
61711,Fusion of skull arteries,2507.16
61720,Incise skull/brain surgery,1269.19
61735,Incise skull/brain surgery,1579.02
61736,Litt icr 1 traj 1 smpl les,1147.34
61737,Litt icr mlt trj mlt/cplx ls,1356.8
61750,Incise skull/brain biopsy,1392.38
61751,Brain biopsy w/ct/mr guide,1393.39
61760,Implant brain electrodes,1561.9
61770,Incise skull for treatment,1592.78
61781,Scan proc cranial intra,216.17
61782,Scan proc cranial extra,145.01
61783,Scan proc spinal,208.45
61790,Treat trigeminal nerve,902.29
61791,Treat trigeminal tract,1132.23
61796,Srs cranial lesion simple,1017.77
61797,Srs cran les simple addl,201.07
61798,Srs cranial lesion complex,1345.05
61799,Srs cran les complex addl,276.93
61800,Apply srs headframe add-on,146.35
61850,Implant neuroelectrodes,994.94
61860,Implant neuroelectrodes,1538.73
61863,Implant neuroelectrode,1503.49
61864,Implant neuroelectrde addl,260.48
61867,Implant neuroelectrode,2217.47
61868,Implant neuroelectrde addl,458.2
61880,Revise/remove neuroelectrode,622.68
61885,Insrt/redo neurostim 1 array,560.24
61886,Implant neurostim arrays,935.86
61888,Revise/remove neuroreceiver,405.16
61889,Ins sk-mnt crnl nstm pg/rcvr,1758.94
61891,Rev/rplcmt sk-mnt crnl nstm,841.54
61892,Rmv sk-mnt crnl nstm pg/rcvr,1101.69
62000,Treat skull fracture,1045.96
62005,Treat skull fracture,1269.86
62010,Treatment of head injury,1525.31
62100,Repair brain fluid leakage,1463.54
62115,Reduction of skull defect,1689.45
62117,Reduction of skull defect,1915.7
62120,Repair skull cavity lesion,2155.37
62121,Incise skull repair,1440.38
62140,Crnop skull defect<5 cm diam,983.86
62141,Crnop skull defect>5 cm diam,1121.15
62142,Rmvl b1 flp/prostc plate skl,905.65
62143,Rpl b1 flp/prostc plate skl,1047.98
62145,Repair of skull & brain,1372.91
62146,Crnop w/autograft<5 cm diam,1249.38
62147,Crnop w/autograft>5 cm diam,1369.22
62148,Retr bone flap to fix skull,115.81
62160,Neuroendoscopy add-on,173.21
62161,Dissect brain w/scope,1510.2
62162,Remove colloid cyst w/scope,1862.66
62164,Remove brain tumor w/scope,2070.11
62165,Remove pituit tumor w/scope,1407.49
62180,Establish brain cavity shunt,1580.69
62190,Establish brain cavity shunt,952.31
62192,Establish brain cavity shunt,1020.79
62194,Replace/irrigate catheter,529.36
62200,Establish brain cavity shunt,1366.2
62201,Brain cavity shunt w/scope,1232.6
62220,Establish brain cavity shunt,974.46
62223,Establish brain cavity shunt,1028.51
62225,Replace/irrigate catheter,575.01
62230,Replace/revise brain shunt,843.55
62252,Csf shunt reprogram,104.39
62256,Remove brain cavity shunt,643.15
62258,Replace brain cavity shunt,1110.75
62263,Epidural lysis mult sessions,667.99
62264,Epidural lysis on single day,448.8
62267,Interdiscal perq aspir dx,260.15
62268,Drain spinal cord cyst,319.9
62269,Needle biopsy spinal cord,223.22
62270,Dx lmbr spi pnxr,165.82
62272,Ther spi pnxr drg csf,217.85
62273,Inject epidural patch,172.87
62280,Treat spinal cord lesion,326.28
62281,Treat spinal cord lesion,249.07
62282,Treat spinal canal lesion,344.07
62284,Injection for myelogram,180.93
62287,Dcmprn pq nuc pul 1/mlt lmbr,536.41
62290,Njx px discography lumbar,371.93
62291,Njx px discography crv/thrc,339.03
62292,Njx chemonucleolysis lmbr,512.58
62294,Injection into spinal artery,960.03
62302,Myelography lumbar injection,246.05
62303,Myelography lumbar injection,250.08
62304,Myelography lumbar injection,243.7
62305,Myelography lumbar injection,265.85
62320,Njx interlaminar crv/thrc,164.48
62321,Njx interlaminar crv/thrc,277.94
62322,Njx interlaminar lmbr/sac,146.35
62323,Njx interlaminar lmbr/sac,274.58
62324,Njx interlaminar crv/thrc,154.41
62325,Njx interlaminar crv/thrc,266.53
62326,Njx interlaminar lmbr/sac,154.07
62327,Njx interlaminar lmbr/sac,275.92
62328,Dx lmbr spi pnxr w/fluor/ct,216.51
62329,Ther spi pnxr csf fluor/ct,274.92
62330,Dcmprn prq rmv lig flv 1lmbr,481.69
62331,Dcmprn prq rmv lig flv addl,189.99
62350,Implant spinal canal cath,379.65
62351,Implant spinal canal cath,918.74
62355,Remove spinal canal catheter,282.3
62360,Insert spine infusion device,312.18
62361,Implant spine infusion pump,467.26
62362,Implant spine infusion pump,373.61
62365,Remove spine infusion device,297.41
62367,Analyze spine infus pump,33.57
62368,Analyze sp inf pump w/reprog,46.66
62369,Anal sp inf pmp w/reprg&fill,97.68
62370,Anl sp inf pmp w/mdreprg&fil,97.68
63001,Remove spine lamina 1/2 crvl,1199.7
63003,Remove spine lamina 1/2 thrc,1204.07
63005,Remove spine lamina 1/2 lmbr,1198.36
63011,Remove spine lamina 1/2 scrl,1015.75
63012,Remove lamina/facets lumbar,1155.39
63015,Remove spine lamina >2 crvcl,1451.79
63016,Remove spine lamina >2 thrc,1470.59
63017,Remove spine lamina >2 lmbr,1251.4
63020,Lamot dcmprn nrv rt 1 cerv,1069.46
63030,Lamot dcmprn nrv rt 1 lmbr,902.63
63032,Lamot rpr anulr dfct 1 lmbr,136.96
63035,Lamot dcmprn nrv rt ea addl,207.45
63040,Laminotomy single cervical,1294.36
63042,Laminotomy single lumbar,1225.89
63045,Lam facetec & foramot crv,1255.76
63046,Lam facetec & foramot thrc,1190.3
63047,Lam facetec & foramot lumbar,1070.8
63048,Lam facetec &foramot ea addl,188.31
63050,Cervical laminoplsty 2/> seg,1408.16
63051,C-laminoplasty w/graft/plate,1582.71
63052,Lam facetc/frmt arthrd lum 1,230.94
63053,Lam factc/frmt arthrd lum ea,205.77
63055,Decompress spinal cord thrc,1560.89
63056,Decompress spinal cord lmbr,1411.85
63057,Decompress spine cord add-on,289.02
63064,Decompress spinal cord thrc,1694.15
63066,Decompress spine cord add-on,188.65
63075,Neck spine disk surgery,1294.7
63076,Neck spine disk surgery,218.19
63077,Spine disk surgery thorax,1318.2
63078,Spine disk surgery thorax,189.66
63081,Remove vert body dcmprn crvl,1668.3
63082,Remove vertebral body add-on,238.66
63085,Remove vert body dcmprn thrc,1829.09
63086,Remove vertebral body add-on,171.87
63087,Remov vertbr dcmprn thrclmbr,2275.54
63088,Remove vertebral body add-on,235.64
63090,Remove vert body dcmprn lmbr,1831.11
63091,Remove vertebral body add-on,158.77
63101,Remove vert body dcmprn thrc,2228.55
63102,Remove vert body dcmprn lmbr,2184.91
63103,Remove vertebral body add-on,264.18
63170,Incise spinal cord tract(s),1584.05
63172,Drainage of spinal cyst,1405.81
63173,Drainage of spinal cyst,1705.56
63185,Incise spine nrv half segmnt,1242.67
63190,Incise spine nrv >2 segmnts,1130.55
63191,Incise spine accessory nerve,1383.65
63197,Lam w/cordotomy 1stg thrc,1692.14
63200,Release spinal cord lumbar,1542.76
63250,Revise spinal cord vsls crvl,2848.54
63251,Revise spinal cord vsls thrc,2919.03
63252,Revise spine cord vsl thrlmb,2918.36
63265,Excise intraspinl lesion crv,1621.65
63266,Excise intrspinl lesion thrc,1666.29
63267,Excise intrspinl lesion lmbr,1329.27
63268,Excise intrspinl lesion scrl,1464.89
63270,Excise intrspinl lesion crvl,2033.18
63271,Excise intrspinl lesion thrc,2022.44
63272,Excise intrspinl lesion lmbr,1838.49
63273,Excise intrspinl lesion scrl,1839.5
63275,Bx/exc xdrl spine lesn crvl,1740.47
63276,Bx/exc xdrl spine lesn thrc,1735.78
63277,Bx/exc xdrl spine lesn lmbr,1509.87
63278,Bx/exc xdrl spine lesn scrl,1587.41
63280,Bx/exc idrl spine lesn crvl,2072.79
63281,Bx/exc idrl spine lesn thrc,2056.68
63282,Bx/exc idrl spine lesn lmbr,1947.59
63283,Bx/exc idrl spine lesn scrl,1881.79
63285,Bx/exc idrl imed lesn cervl,2536.7
63286,Bx/exc idrl imed lesn thrc,2506.82
63287,Bx/exc idrl imed lesn thrlmb,2654.18
63290,Bx/exc xdrl/idrl lsn any lvl,2697.82
63295,Repair laminectomy defect,304.12
63300,Remove vert xdrl body crvcl,1749.87
63301,Remove vert xdrl body thrc,2160.4
63302,Remove vert xdrl body thrlmb,2136.57
63303,Remov vert xdrl bdy lmbr/sac,2250.37
63304,Remove vert idrl body crvcl,2292.66
63305,Remove vert idrl body thrc,2431.97
63306,Remov vert idrl bdy thrclmbr,2391.68
63307,Remov vert idrl bdy lmbr/sac,2336.97
63308,Remove vertebral body add-on,290.36
63600,Remove spinal cord lesion,1090.27
63610,Stimulation of spinal cord,551.51
63620,Srs spinal lesion,1118.8
63621,Srs spinal lesion addl,231.95
63650,Implant neuroelectrodes,2400.41
63655,Implant neuroelectrodes,842.88
63661,Remove spine eltrd perq aray,747.21
63662,Remove spine eltrd plate,853.96
63663,Revise spine eltrd perq aray,958.02
63664,Revise spine eltrd plate,890.88
63685,Ins/rplc spi npg/rcvr pocket,320.23
63688,Rev/rmv imp sp npg/r dtch cn,307.14
63700,Repair of spinal herniation,1329.94
63702,Repair of spinal herniation,1442.06
63704,Repair of spinal herniation,1678.71
63706,Repair of spinal herniation,1848.56
63707,Repair spinal fluid leakage,932.51
63709,Repair spinal fluid leakage,1090.27
63710,Graft repair of spine defect,1051.0
63740,Install spinal shunt,1014.07
63741,Install spinal shunt,716.67
63744,Revision of spinal shunt,739.83
63746,Removal of spinal shunt,646.51
64400,Njx aa&/strd trigeminal nrv,122.52
64405,Njx aa&/strd gr ocpl nrv,79.22
64408,Njx aa&/strd vagus nrv,80.23
64415,Njx aa&/strd brch plxs img,155.75
64416,Njx aa&/strd brch pl nfs img,72.84
64417,Njx aa&/strd ax nerve img,186.97
64418,Njx aa&/strd sprscap nrv,90.3
64420,Njx aa&/strd ntrcost nrv 1,106.41
64421,Njx aa&/strd ntrcost nrv ea,35.25
64425,Njx aa&/strd ii ih nerves,121.51
64430,Njx aa&/strd pudendal nerve,96.34
64435,Njx aa&/strd paracrv nrv,75.53
64445,Njx aa&/strd sciatic nrv img,174.22
64446,Njx aa&/strd sc nrv nfs img,71.16
64447,Njx aa&/strd femoral nrv img,134.94
64448,Njx aa&/strd fem nrv nfs img,68.14
64449,Njx aa&/strd lmbr plex nfs,60.76
64450,Njx aa&/strd other pn/branch,81.23
64451,Njx aa&/strd nrv nrvtg si jt,242.69
64454,Njx aa&/strd gnclr nrv brnch,235.98
64455,Njx aa&/strd pltr com dg nrv,50.35
64461,Pvb thoracic single inj site,150.38
64462,Pvb thoracic 2nd+ inj site,78.55
64463,Pvb thoracic cont infusion,265.52
64466,Thrc fascial pln blk uni njx,142.66
64467,Thrc fascial pln blk uni nfs,271.23
64468,Thrc fascial pln blk bi njx,165.15
64469,Thrc fascial pln blk bi nfs,419.26
64473,Lwr xtr fscl pln blk uni njx,135.28
64474,Lwr xtr fscl pln blk uni nfs,267.53
64479,Njx aa&/strd tfrm epi c/t 1,286.67
64480,Njx aa&/strd tfrm epi c/t ea,143.67
64483,Njx aa&/strd tfrm epi l/s 1,266.19
64484,Njx aa&/strd tfrm epi l/s ea,118.16
64486,Tap block unil by injection,126.21
64487,Tap block uni by infusion,246.72
64488,Tap block bi injection,148.37
64489,Tap block bi by infusion,405.16
64490,Inj paravert f jnt c/t 1 lev,206.1
64491,Inj paravert f jnt c/t 2 lev,102.38
64492,Inj paravert f jnt c/t 3 lev,102.72
64493,Inj paravert f jnt l/s 1 lev,191.33
64494,Inj paravert f jnt l/s 2 lev,96.34
64495,Inj paravert f jnt l/s 3 lev,99.36
64505,N block spenopalatine gangl,151.05
64510,N block stellate ganglion,154.75
64517,N block inj hypogas plxs,203.75
64520,N block lumbar/thoracic,243.36
64530,N block inj celiac pelus,236.99
64553,Implant neuroelectrodes,4865.61
64555,Implant neuroelectrodes,2234.59
64561,Implant neuroelectrodes,746.54
64566,Neuroeltrd stim post tibial,117.82
64567,Perq elec nrv field stimj cn,1245.69
64568,Opn impltj crnl nrv nea&pg,663.29
64569,Revise/repl vagus n eltrd,749.9
64570,Remove vagus n eltrd,770.04
64575,Opn impltj nea perph nerve,295.06
64580,Opn impltj nea neuromuscular,316.54
64581,Opn impltj nea sacral nerve,590.79
64582,Opn mpltj hpglsl nstm ary pg,726.4
64583,Rev/rplct hpglsl nstm ary pg,748.89
64584,Rmvl hpglsl nstim ary pg,634.76
64585,Rev/rmv perph nstim eltrd ra,253.1
64590,Ins/rpl prph sac/gstr npg/r,430.34
64595,Rev/rmv prph sac/gstr npg/r,349.77
64600,Injection treatment of nerve,533.39
64605,Injection treatment of nerve,1106.38
64610,Injection treatment of nerve,864.03
64611,Chemodenerv saliv glands,139.31
64612,Destroy nerve face muscle,142.33
64615,Chemodenerv musc migraine,157.77
64616,Chemodenerv musc neck dyston,144.34
64617,Chemodener muscle larynx emg,159.78
64620,Injection treatment of nerve,226.92
64624,Dstrj nulyt agt gnclr nrv,413.22
64625,Rf abltj nrv nrvtg si jt,498.14
64628,Trml dstrj ios bvn 1st 2 l/s,366.56
64629,Trml dstrj ios bvn ea addl,168.17
64630,Injection treatment of nerve,275.59
64632,N block inj common digit,90.63
64633,Destroy cerv/thor facet jnt,461.22
64634,Destroy c/th facet jnt addl,267.87
64635,Destroy lumb/sac facet jnt,467.26
64636,Destroy l/s facet jnt addl,252.76
64640,Injection treatment of nerve,268.88
64642,Chemodenerv 1 extremity 1-4,164.15
64643,Chemodenerv 1 extrem 1-4 ea,100.37
64644,Chemodenerv 1 extrem 5/> mus,191.67
64645,Chemodenerv 1 extrem 5/> ea,130.24
64646,Chemodenerv trunk musc 1-5,171.19
64647,Chemodenerv trunk musc 6/>,190.33
64650,Chemodenerv eccrine glands,86.94
64653,Chemodenerv eccrine glands,102.72
64654,1st opn implt bat modulj sys,562.26
64655,Revj/rplcmt bat mod sys lead,647.52
64656,Revj/rplcmt bat mod sys pg,429.33
64657,Rmvl bat modulj sys tot sys,635.43
64658,Rmvl bat modul sys lead only,478.34
64659,Rmvl bat modulj sys pg only,443.76
64680,Injection treatment of nerve,348.43
64681,Injection treatment of nerve,464.57
64702,Revise finger/toe nerve,491.09
64704,Revise hand/foot nerve,309.83
64708,Revise arm/leg nerve,466.59
64712,Revision of sciatic nerve,560.24
64713,Revision of arm nerve(s),748.89
64714,Revise low back nerve(s),719.35
64716,Revision of cranial nerve,472.29
64718,Revise ulnar nerve at elbow,578.03
64719,Revise ulnar nerve at wrist,389.72
64721,Carpal tunnel surgery,485.05
64722,Decompression unspec nerve,374.95
64726,Dcmprn plantar digital nerve,259.48
64727,Internal neurolysis,145.68
64728,Dcmprn median nrv carpl tunl,1349.75
64732,Incision of brow nerve,496.8
64734,Incision of cheek nerve,559.91
64736,Incision of chin nerve,306.81
64738,Incision of jaw nerve,418.25
64740,Incision of tongue nerve,432.69
64742,Incision of facial nerve,427.65
64744,Incise nerve back of head,544.8
64746,Incise diaphragm nerve,436.04
64755,Incision of stomach nerves,874.43
64760,Incision of vagus nerve,513.25
64763,Incise hip/thigh nerve,506.87
64766,Incise hip/thigh nerve,621.67
64771,Sever cranial nerve,561.58
64772,Incision of spinal nerve,518.95
64774,Remove skin nerve lesion,413.89
64776,Remove digit nerve lesion,376.29
64778,Digit nerve surgery add-on,155.75
64782,Remove limb nerve lesion,438.39
64783,Limb nerve surgery add-on,186.3
64784,Remove nerve lesion,676.39
64786,Remove sciatic nerve lesion,956.0
64787,Implant nerve end,204.76
64788,Remove skin nerve lesion,393.08
64790,Removal of nerve lesion,807.97
64792,Removal of nerve lesion,1219.17
64795,Biopsy of nerve,187.31
64802,Sympathectomy cervical,883.5
64804,Sympathectomy cervicothorac,1205.41
64809,Sympathectomy thoracolumbar,1099.67
64818,Sympathectomy lumbar,722.71
64820,Sympathectomy digital artery,702.9
64821,Sympathectomy radial artery,663.63
64822,Sympathectomy ulnar artery,663.63
64823,Sympathectomy supfc palmar,743.86
64831,Repair of digit nerve,646.85
64832,Repair nerve add-on,282.97
64834,Repair of hand or foot nerve,663.97
64835,Repair of hand or foot nerve,758.96
64836,Repair of hand or foot nerve,758.96
64837,Repair nerve add-on,313.18
64840,Repair of leg nerve,889.2
64856,Repair/transpose nerve,924.11
64857,Repair arm/leg nerve,949.62
64858,Repair sciatic nerve,1069.12
64859,Nerve surgery,213.15
64861,Repair of arm nerves,1519.6
64862,Repair of low back nerves,1243.68
64864,Repair of facial nerve,758.96
64865,Repair of facial nerve,952.65
64866,Fusion of facial/other nerve,1132.57
64868,Fusion of facial/other nerve,872.42
64872,Subsequent repair of nerve,100.03
64874,Repair & revise nerve add-on,149.38
64876,Repair nerve/shorten bone,168.84
64885,Nerve graft head/neck <4 cm,933.51
64886,Nerve graft head/neck >4 cm,1123.5
64890,Nrv grf 1strnd hnd/foot <4cm,984.53
64891,Nrv grf 1strnd hnd/foot >4cm,1045.96
64892,Nrv grf 1strnd arm/leg <4cm,959.69
64893,Nrv grf 1strnd arm/leg >4 cm,1021.46
64895,Nrv grf mltst hnd/foot <4 cm,1198.02
64896,Nrv grf mltst hnd/foot >4 cm,1292.68
64897,Nrv grf mltst arm/leg <4 cm,1147.34
64898,Nrv grf mltst arm/leg >4 cm,1242.67
64901,Nerve graft add-on,511.57
64902,Nerve graft add-on,592.13
64905,Nerve pedicle transfer,895.92
64907,Nerve pedicle transfer,1175.2
64910,Nerve repair w/allograft,700.55
64911,Neurorraphy w/vein autograft,955.0
64912,Nrv rpr w/nrv algrft 1st,823.08
64913,Nrv rpr w/nrv algrft ea addl,147.36
65091,Revise eye,665.98
65093,Revise eye with implant,662.96
65101,Removal of eye,763.32
65103,Remove eye/insert implant,784.47
65105,Remove eye/attach implant,851.94
65110,Removal of eye,1151.7
65112,Remove eye/revise socket,1313.16
65114,Remove eye/revise socket,1365.86
65125,Revise ocular implant,457.86
65130,Insert ocular implant,765.34
65135,Insert ocular implant,774.07
65140,Attach ocular implant,828.78
65150,Revise ocular implant,633.08
